FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
0,0.0011,0.0011,0.0076,0.0294,0.0469,0.2029,0.5323,0.2890,0.1145,0.0883,
1,0.0000,0.0011,0.0179,0.0246,0.0391,0.1555,0.3814,0.2025,0.0403,0.0246,
2,0.0000,0.0000,0.0053,0.0158,0.0105,0.0527,0.2211,0.1369,0.0474,0.0000,
3,0.0000,0.0000,0.0000,0.0060,0.0664,0.1690,0.3440,0.2113,0.0362,0.0302,
4,0.0000,0.0058,0.0186,0.0220,0.0464,0.1820,0.4278,0.2226,0.0800,0.0417,
5,0.0000,0.0036,0.0073,0.0219,0.0292,0.1824,0.3795,0.1533,0.0511,0.0511,
6,0.0000,0.0000,0.0065,0.0065,0.0327,0.1506,0.4322,0.1965,0.0393,0.0393,
7,0.0000,0.0000,0.0253,0.0253,0.0422,0.1942,0.4053,0.1604,0.0169,0.0253,
8,0.0000,0.0036,0.0291,0.0874,0.1967,0.4371,0.7685,0.5318,0.2149,0.1894,
9,0.0011,0.0033,0.0055,0.0221,0.0442,0.2320,0.5248,0.3270,0.1746,0.0972,
10,0.0022,0.0000,0.0000,0.0290,0.0579,0.1716,0.4123,0.2719,0.1092,0.0579,
11,0.0000,0.0000,0.0058,0.0156,0.0545,0.1713,0.4497,0.2667,0.0934,0.0331,
12,0.0000,0.0000,0.0000,0.1028,0.3701,0.4318,0.8945,0.7197,0.6169,0.1542,
13,0.0000,0.0000,0.0000,0.0127,0.0765,0.2486,0.5354,0.3442,0.0446,0.0255,
14,0.0013,0.0064,0.0064,0.0319,0.0472,0.1888,0.4592,0.3635,0.1543,0.1237,
15,0.0069,0.0035,0.0278,0.0208,0.0555,0.2428,0.7284,0.3434,0.0555,0.0382,
16,0.0016,0.0000,0.0047,0.0110,0.0773,0.2885,0.7852,0.5786,0.2349,0.2538,
17,0.0000,0.0000,0.0000,0.0234,0.0857,0.1247,0.2415,0.2571,0.1247,0.0390,
18,0.0000,0.0000,0.0027,0.0164,0.0382,0.2537,0.4475,0.3083,0.1310,0.1010,
19,0.0037,0.0037,0.0012,0.0173,0.0494,0.2161,0.4421,0.2346,0.1111,0.0889,
20,0.0000,0.0000,0.0032,0.0508,0.0999,0.3046,0.6901,0.3411,0.2332,0.1745,
21,0.0000,0.0000,0.0081,0.0244,0.0447,0.1503,0.4530,0.3149,0.1503,0.1320,
22,0.0000,0.0017,0.0035,0.0642,0.0833,0.2341,0.4770,0.2151,0.1995,0.1786,
23,0.0000,0.0000,0.0020,0.0200,0.0479,0.1556,0.4369,0.3053,0.1057,0.0778,
24,0.0000,0.0000,0.0000,0.0000,0.0757,0.2270,0.5599,0.3783,0.0757,0.0303,
25,0.0000,0.0031,0.0031,0.0216,0.0433,0.1731,0.3401,0.3339,0.1144,0.0928,
26,0.0000,0.0000,0.0000,0.0000,0.0067,0.0737,0.2747,0.1273,0.0670,0.0603,
27,0.0000,0.0000,0.0056,0.0149,0.0708,0.1901,0.5051,0.2498,0.1174,0.0876,
28,0.0092,0.0184,0.0000,0.0276,0.0000,0.0920,0.3496,0.3128,0.1564,0.1012,
29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0603,0.0000,0.0000,0.0000,0.0000,
30,0.0000,0.0000,0.0000,0.0288,0.0288,0.0960,0.3264,0.2112,0.0288,0.0096,
31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.1218,0.0000,0.0000,
32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,0.0000,0.1377,0.0000,
33,0.0000,0.0000,0.0415,0.0000,0.0000,0.0415,0.1662,0.3324,0.0000,0.0415,
34,0.0104,0.0000,0.0000,0.0000,0.0208,0.0104,0.1765,0.1557,0.0623,0.0208,
35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
37,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1219,0.0000,0.0000,
38,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0652,0.0434,0.0217,0.0000,
39,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
40,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0564,0.0000,0.0000,
42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0835,0.0835,0.0417,0.0000,
43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0326,0.0326,0.0326,0.0652,0.0000,
44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0713,0.0713,0.0000,0.0000,
45,0.0000,0.0000,0.0145,0.0000,0.0000,0.0000,0.0724,0.0579,0.0145,0.0724,
46,0.0000,0.0000,0.0000,0.0342,0.0000,0.0685,0.0685,0.1712,0.0342,0.0000,
47,0.0000,0.0000,0.0000,0.0187,0.0000,0.1122,0.2804,0.1308,0.0374,0.0000,
48,0.0155,0.0000,0.0052,0.0052,0.0155,0.0673,0.1761,0.1865,0.0259,0.0155,
49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0611,0.0611,0.0000,0.0000,
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0460,
51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0272,0.0272,0.0000,0.0000,0.0000,
52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.0000,0.0000,0.0000,0.0000,
53,0.0000,0.0000,0.0000,0.0000,0.0177,0.0532,0.1595,0.2127,0.0177,0.0177,
54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0604,0.2114,0.0302,0.0000,0.0000,
55,0.0000,0.0000,0.0000,0.0000,0.0000,0.1098,0.0000,0.0732,0.0000,0.0000,
56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0964,0.1285,0.0803,0.0321,0.0161,
57,0.0000,0.0000,0.0000,0.0354,0.0000,0.0709,0.0354,0.1418,0.0709,0.0000,
58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0373,0.0000,0.1490,0.0373,0.0000,
59,0.0000,0.0000,0.0104,0.0312,0.0416,0.1871,0.8525,0.9565,0.0936,0.0520,
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0741,0.2963,0.0000,0.0000,
61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1144,0.1525,0.0762,0.0000,
63,0.0000,0.0225,0.0000,0.0000,0.0000,0.0225,0.1800,0.1350,0.0000,0.0000,
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1315,0.0000,0.0000,0.0000,
66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0298,0.0000,0.0298,0.0000,
68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0901,0.1081,0.0360,0.0000,
69,0.0000,0.0000,0.0000,0.0000,0.0000,0.0380,0.1522,0.2283,0.0000,0.0127,
70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0680,0.1700,0.0340,0.0000,
71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1914,0.0000,0.0000,
72,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
73,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0592,0.0592,0.0000,0.1184,
75,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1400,0.0000,0.0000,
76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
77,0.0000,0.0000,0.0000,0.0412,0.1237,0.0825,0.0412,0.2062,0.0825,0.0000,
78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0235,0.1177,0.0235,0.0000,
79,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1206,0.0000,0.0000,0.0000,
81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0115,0.0805,0.0690,0.0230,0.0000,
83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0420,0.0840,0.0000,0.0000,0.0000,
84,0.0000,0.0000,0.0000,0.0302,0.1809,0.1508,0.4523,0.3015,0.0000,0.0302,
85,0.0000,0.0000,0.0000,0.0000,0.0303,0.0707,0.2425,0.0909,0.0303,0.0101,
86,0.0000,0.0000,0.0000,0.0000,0.0000,0.1231,0.1231,0.0615,0.0000,0.0000,
87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0309,0.0309,0.0000,0.0000,
89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0668,0.1336,0.0000,0.0000,
90,0.0000,0.0048,0.0193,0.0771,0.1204,0.3468,0.9488,0.4672,0.0915,0.0674,
91,0.0000,0.0000,0.0000,0.0000,0.0136,0.0542,0.1492,0.0949,0.0136,0.0136,
92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
93,0.0000,0.0000,0.0000,0.0000,0.0000,0.0437,0.1456,0.0874,0.0000,0.0000,
94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
95,0.0000,0.0302,0.0000,0.0302,0.0000,0.1207,0.1207,0.0905,0.0000,0.0000,
96,0.0000,0.0000,0.0000,0.0000,0.0574,0.0000,0.1721,0.1147,0.0000,0.0000,
97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0415,0.0000,0.0000,
98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0583,0.1166,0.0000,0.0000,0.0000,
99,0.0000,0.0000,0.0000,0.0000,0.0182,0.0182,0.1823,0.0182,0.0000,0.0000,
100,0.0000,0.0000,0.0000,0.0000,0.1051,0.3153,0.2803,0.0000,0.0350,0.0350,
101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,0.0000,0.0000,
102,0.0000,0.0000,0.0000,0.1378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
103,0.0000,0.0000,0.0000,0.0000,0.0795,0.0000,0.0000,0.0000,0.0000,0.0000,
104,0.0000,0.0000,0.0032,0.0221,0.0411,0.1391,0.1897,0.1138,0.0000,0.0032,
105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
107,0.0000,0.0000,0.0000,0.0000,0.0000,0.1713,0.1499,0.0643,0.0000,0.0000,
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2984,0.0000,0.0000,0.0000,
109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1886,0.0629,0.0000,
110,0.0000,0.0000,0.0000,0.0357,0.0000,0.0000,0.1071,0.1071,0.0357,0.0000,
111,0.0000,0.0000,0.0000,0.1794,0.0897,0.1794,0.2690,0.0897,0.0000,0.0000,
112,0.0000,0.0018,0.0074,0.0166,0.0398,0.1211,0.3448,0.2293,0.0453,0.0111,
113,0.0000,0.0000,0.0000,0.0153,0.0460,0.0613,0.1534,0.0153,0.0000,0.0153,
114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1168,0.0000,0.0389,0.0000,
116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0712,0.0534,0.0178,0.0178,
117,0.0000,0.0000,0.0128,0.0255,0.0255,0.1022,0.1916,0.0511,0.0255,0.0000,
118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0579,0.0000,0.0000,
119,0.0000,0.0000,0.0000,0.0271,0.1899,0.2170,0.1628,0.0814,0.0000,0.0000,
120,0.0000,0.0000,0.0000,0.0460,0.0921,0.0000,0.0460,0.0460,0.0000,0.0000,
121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2717,0.0000,0.0000,0.0000,
123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
124,0.0000,0.0000,0.0000,0.0276,0.0000,0.0000,0.1380,0.0828,0.0552,0.0000,
125,0.0000,0.0000,0.0100,0.0601,0.0701,0.1903,0.2503,0.1402,0.0300,0.0000,
126,0.0000,0.0065,0.0065,0.0521,0.0521,0.1108,0.2606,0.1434,0.0195,0.0098,
127,0.0000,0.0000,0.0000,0.0000,0.0554,0.0185,0.0000,0.0923,0.0000,0.0000,
128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
129,0.0000,0.0000,0.0000,0.0000,0.0284,0.0284,0.1134,0.0851,0.0284,0.0000,
130,0.0000,0.0000,0.0149,0.0000,0.0597,0.0298,0.1194,0.0597,0.0000,0.0000,
131,0.0000,0.0000,0.0000,0.2880,0.1440,0.1440,0.1440,0.0000,0.0000,0.0000,
132,0.0000,0.0000,0.0000,0.0000,0.0848,0.0000,0.2544,0.0848,0.0848,0.0000,
133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0628,0.3765,0.0000,0.0000,0.0000,
134,0.0000,0.0000,0.0000,0.1756,0.0000,0.0878,0.0878,0.0000,0.0000,0.0000,
135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0391,0.0000,0.0000,0.0000,
136,0.0064,0.0000,0.0000,0.0256,0.0480,0.1313,0.3682,0.1473,0.0384,0.0256,
137,0.0000,0.0000,0.0000,0.0000,0.0302,0.0302,0.0905,0.0000,0.0000,0.0000,
138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0774,0.0000,0.0000,
139,0.0000,0.0000,0.0000,0.0000,0.0751,0.3006,0.0751,0.0000,0.0751,0.0000,
140,0.0000,0.0000,0.0000,0.0000,0.0000,0.2228,0.1114,0.2228,0.0000,0.0000,
141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.1222,0.1222,0.0000,0.0000,
142,0.0000,0.0000,0.0912,0.1825,0.2737,0.2737,0.1825,0.0000,0.0000,0.0912,
143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0848,0.2119,0.1801,0.0424,0.0212,
144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0666,0.1997,0.0000,0.0666,0.0000,
145,0.0000,0.0000,0.0000,0.0543,0.1085,0.7054,0.5426,0.1085,0.0543,0.0000,
146,0.0000,0.0000,0.0000,0.0000,0.0807,0.0000,0.3229,0.1614,0.0000,0.0000,
147,0.0000,0.0000,0.0811,0.0811,0.3244,0.3244,0.3244,0.1622,0.0000,0.0000,
148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0631,0.1262,0.0000,0.0000,0.0000,
149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0597,0.2389,0.0597,0.0000,0.0000,
150,0.0000,0.0000,0.0000,0.0000,0.1664,0.2080,0.2496,0.2080,0.0000,0.0000,
151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0541,0.0541,0.0000,0.0000,
152,0.0000,0.0000,0.0000,0.0000,0.0157,0.0157,0.0945,0.0945,0.0000,0.0000,
153,0.0000,0.0000,0.0357,0.0000,0.0000,0.0357,0.1426,0.0713,0.0000,0.0000,
154,0.0000,0.0000,0.0000,0.0428,0.0000,0.1284,0.2996,0.0856,0.0000,0.0000,
155,0.0000,0.0000,0.0280,0.1400,0.0280,0.0840,0.4199,0.2239,0.0000,0.0000,
156,0.0000,0.0000,0.0025,0.0174,0.0299,0.1194,0.3060,0.1891,0.0174,0.0050,
157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0287,0.0574,0.0000,0.0000,
158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4322,0.0000,0.0000,0.0000,
160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2057,0.1407,0.0000,0.0000,
161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0897,0.0000,0.0000,0.0000,0.0000,
162,0.0000,0.0000,0.0131,0.0000,0.0000,0.0655,0.1179,0.0393,0.0131,0.0000,
163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
165,0.0000,0.0000,0.0000,0.0000,0.0238,0.0238,0.1905,0.0714,0.0000,0.0238,
166,0.0000,0.0000,0.0000,0.0310,0.0000,0.0621,0.0000,0.1242,0.0000,0.0000,
167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,0.1616,0.0539,0.0000,0.0539,
168,0.0000,0.0000,0.0000,0.0082,0.0409,0.0817,0.1552,0.1144,0.0409,0.0000,
169,0.0000,0.0000,0.0000,0.0233,0.0155,0.1008,0.1473,0.0931,0.0078,0.0000,
170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
171,0.0000,0.0000,0.0000,0.0000,0.0827,0.0827,0.4137,0.1655,0.0000,0.0000,
172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1109,0.0222,0.0000,0.0000,
173,0.0000,0.0000,0.0000,0.0000,0.0000,0.1863,0.1065,0.2129,0.0000,0.0266,
174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0729,0.0182,0.0000,
175,0.0000,0.0000,0.0000,0.0000,0.0573,0.0000,0.0573,0.1719,0.0573,0.0000,
176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0724,0.0965,0.0000,0.0000,
177,0.0000,0.0000,0.0000,0.0000,0.0000,0.1368,0.4105,0.0342,0.0342,0.0000,
178,0.0000,0.0000,0.0153,0.0458,0.0153,0.1528,0.0917,0.0764,0.0458,0.0000,
179,0.0000,0.0000,0.0000,0.0071,0.0572,0.2215,0.6502,0.4144,0.0572,0.0286,
180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1607,0.0000,0.0000,
181,0.0000,0.0000,0.0000,0.0000,0.0000,0.1121,0.1121,0.0561,0.0000,0.0000,
182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1504,0.0000,0.0000,
183,0.0000,0.0000,0.0000,0.0000,0.0460,0.0460,0.1380,0.0920,0.0000,0.0230,
184,0.0045,0.0000,0.0180,0.0495,0.0585,0.1440,0.2700,0.0855,0.0135,0.0045,
185,0.0000,0.0000,0.0000,0.1149,0.0000,0.4020,0.3446,0.0000,0.0000,0.0000,
186,0.0000,0.1678,0.0000,0.0000,0.0000,0.0000,1.0065,0.1678,0.0000,0.0000,
187,0.0000,0.0000,0.0000,0.0465,0.0232,0.0232,0.2090,0.0929,0.0465,0.0000,
188,0.0000,0.0000,0.0000,0.0711,0.0711,0.0711,0.2843,0.0711,0.0711,0.0000,
189,0.0000,0.0000,0.0000,0.0382,0.0000,0.0382,0.2671,0.2290,0.0000,0.0000,
190,0.0000,0.0000,0.0000,0.0000,0.1687,0.1687,0.5062,0.0000,0.0000,0.0000,
191,0.0000,0.0000,0.0000,0.0000,0.0000,0.1329,0.3102,0.1773,0.0443,0.0000,
192,0.0000,0.0000,0.0000,0.0000,0.0811,0.2433,0.2433,0.0000,0.0000,0.0000,
193,0.0000,0.0000,0.0000,0.0000,0.0000,0.1165,0.0000,0.0000,0.0000,0.0000,
194,0.0000,0.0000,0.0000,0.0000,0.1235,0.2471,0.3294,0.5765,0.0412,0.0000,
195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
196,0.0000,0.0000,0.0000,0.0728,0.0946,0.1601,0.1892,0.0873,0.0146,0.0000,
197,0.0000,0.0000,0.0000,0.0204,0.0613,0.2862,0.9200,0.4498,0.0818,0.0818,
198,0.0000,0.0000,0.0000,0.0000,0.0885,0.0443,0.1328,0.1771,0.0000,0.0000,
199,0.0000,0.0000,0.0000,0.1420,0.0000,0.0000,0.1420,0.4260,0.0000,0.0000,
200,0.0000,0.0000,0.0000,0.0265,0.0132,0.1191,0.4235,0.2779,0.0397,0.0132,
201,0.0000,0.0000,0.0264,0.0793,0.0000,0.0529,0.2380,0.1851,0.0264,0.0000,
202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1401,0.1401,0.0000,0.0000,
203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0724,0.1447,0.0000,0.0000,
204,0.0000,0.0000,0.0055,0.0498,0.0277,0.1107,0.1826,0.1605,0.0387,0.0055,
205,0.0041,0.0082,0.0247,0.1236,0.1689,0.2471,0.5066,0.1647,0.0494,0.0329,
206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2527,0.0000,0.0000,0.0000,
207,0.0000,0.0000,0.0000,0.0617,0.0000,0.0308,0.1542,0.0925,0.0617,0.0000,
